Time,TRACENO,FFID,CHAN,SOU_X,SOU_Y,FRONT_X,FRONT_Y,TAIL_X,TAIL_Y,Feathering
09:25:53.946,385,1552467,1,235074.26765,3781344.38118,235097.3755,3781353.5312,235047.9487,3781371.819,20.904355434134402
09:25:54.181,424,1552468,16,235075.28591,3781344.28156,235098.5054,3781353.5362,235048.7277,3781371.6457,20.591765679754246
09:25:54.459,424,1552468,16,235075.28591,3781344.28156,235098.5054,3781353.5362,235048.7277,3781371.6457,20.591765679754246
09:25:54.612,433,1552469,1,235076.2812,3781344.1842,235099.3123,3781353.3926,235049.7763,3781371.3325,20.50830171058783
09:25:54.981,433,1552469,1,235076.2812,3781344.1842,235099.3123,3781353.3926,235050.6442,3781371.1898,20.686714132279576
09:25:55.183,472,1552470,16,235077.23995,3781344.09041,235099.3123,3781353.3926,235050.6442,3781371.1898,20.686714132279576
09:25:55.458,472,1552470,16,235077.23995,3781344.09041,235099.3123,3781353.3926,235050.6442,3781371.1898,20.686714132279576
09:25:55.747,481,1552471,1,235078.19762,3781343.99672,235100.3982,3781353.2455,235051.1697,3781371.2105,20.64858754424415
09:25:55.980,481,1552471,1,235078.19762,3781343.99672,235100.3982,3781353.2455,235052.444,3781371.0425,20.961146402909435
09:25:56.259,520,1552472,16,235079.21415,3781343.89728,235102.383,3781353.0904,235052.444,3781371.0425,20.372525181646438
09:25:56.459,520,1552472,16,235079.21415,3781343.89728,235102.383,3781353.0904,235053.2969,3781370.9578,20.60156736552642
09:25:56.744,529,1552473,1,235080.25322,3781343.79563,235103.261,3781353.049,235053.2969,3781370.9578,20.319373061547026
09:25:56.982,529,1552473,1,235080.25322,3781343.79563,235103.261,3781353.049,235053.2969,3781370.9578,20.319373061547026
09:25:57.259,568,1552474,16,235081.3221,3781343.69107,235103.261,3781353.049,235054.4034,3781370.9481,20.720430609773075
09:25:57.459,568,1552474,16,235081.3221,3781343.69107,235104.4351,3781352.9743,235054.4034,3781370.9481,20.360736141725624
09:25:57.783,577,1552475,1,235082.39273,3781343.58633,235105.688,3781352.9266,235055.6299,3781370.9557,20.40716849352043
09:25:57.985,577,1552475,1,235082.39273,3781343.58633,235105.688,3781352.9266,235055.6299,3781370.9557,20.40716849352043
09:25:58.259,616,1552476,16,235083.41883,3781343.48595,235105.688,3781352.9266,235056.5908,3781371.0378,20.848240050904337
09:25:58.544,625,1552477,1,235084.38664,3781343.39128,235106.4274,3781352.8969,235056.5908,3781371.0378,20.60188926283655
09:25:58.781,625,1552477,1,235084.38664,3781343.39128,235106.4274,3781352.8969,235057.4314,3781371.0626,20.942707012896904
09:25:58.982,625,1552477,1,235084.38664,3781343.39128,235106.4274,3781352.8969,235057.4314,3781371.0626,20.942707012896904
09:25:59.259,664,1552478,16,235085.34758,3781343.29727,235107.8274,3781353.1671,235058.5544,3781371.0278,20.524796980862448
09:25:59.544,673,1552479,1,235086.34545,3781343.19965,235109.2258,3781353.4817,235058.5544,3781371.0278,19.699550232372758
09:25:59.781,673,1552479,1,235086.34545,3781343.19965,235109.2258,3781353.4817,235059.5303,3781370.8009,19.81377310681455
09:26:00.059,712,1552480,16,235087.36309,3781343.1001,235109.2258,3781353.4817,235059.5303,3781370.8009,19.81377310681455
09:26:00.259,712,1552480,16,235087.36309,3781343.1001,235110.4759,3781353.2636,235059.5303,3781370.8009,19.595297570230684
09:26:00.581,721,1552481,1,235088.417,3781342.997,235110.4759,3781353.2636,235061.0567,3781370.6208,19.952489611872977
09:26:00.781,721,1552481,1,235088.417,3781342.997,235110.4759,3781353.2636,235061.7756,3781370.6462,20.24300913446575
09:26:01.059,760,1552482,16,235089.45929,3781342.89504,235110.4759,3781353.2636,235061.7756,3781370.6462,20.24300913446575
09:26:01.345,760,1552482,16,235089.45929,3781342.89504,235112.0712,3781353.1249,235062.8218,3781370.468,19.999636158799376
09:26:01.582,769,1552483,1,235090.44035,3781342.79906,235112.0712,3781353.1249,235062.8218,3781370.468,19.999636158799376
09:26:01.782,769,1552483,1,235090.44035,3781342.79906,235112.0712,3781353.1249,235062.8218,3781370.468,19.999636158799376
09:26:02.059,808,1552484,16,235091.42062,3781342.70317,235113.6468,3781352.8222,235063.7843,3781370.5082,20.12936243969591
09:26:02.344,808,1552484,16,235091.42062,3781342.70317,235113.6468,3781352.8222,235063.7843,3781370.5082,20.12936243969591
09:26:02.554,817,1552485,1,235092.40197,3781342.60717,235115.2234,3781352.8241,235064.9828,3781370.5274,20.010948710208254
09:26:02.858,817,1552485,1,235092.40197,3781342.60717,235115.2234,3781352.8241,235066.0117,3781370.1335,19.978477800212715
09:26:03.000,817,1552485,1,235092.40197,3781342.60717,235116.261,3781352.9718,235066.0117,3781370.1335,19.45663314526388
09:26:03.344,856,1552486,16,235093.39084,3781342.51043,235116.261,3781352.9718,235066.0117,3781370.1335,19.45663314526388
09:26:03.581,865,1552487,1,235094.38268,3781342.4134,235116.261,3781352.9718,235067.0129,3781369.9906,19.66375344259467
09:26:03.859,865,1552487,1,235094.38268,3781342.4134,235117.5032,3781353.1307,235068.1442,3781370.1908,19.66683936953467
09:26:04.013,904,1552488,16,235095.39589,3781342.31428,235118.7506,3781353.0184,235068.1442,3781370.1908,19.343748140209243
09:26:04.382,904,1552488,16,235095.39589,3781342.31428,235118.7506,3781353.0184,235068.8765,3781370.2057,19.61465476778983
09:26:04.582,913,1552489,1,235096.41839,3781342.21426,235118.7506,3781353.0184,235068.8765,3781370.2057,19.61465476778983
